[2019-11-16 21:51:28.600] temperature (C), humidity (% relative), pressure (hPa)        
[2019-11-16 23:04:35.931] ,-3,23,1074                   
[2019-11-16 23:04:48.525] ,-3,23,1074                   
[2019-11-16 23:05:01.119] ,-3,23,1074                   
[2019-11-16 23:05:13.714] ,-3,23,1074                   
[2019-11-16 23:05:26.307] ,-3,23,1074                   
[2019-11-16 23:05:38.901] ,-3,23,1074                   
[2019-11-16 23:05:51.495] ,-3,23,1074                   
[2019-11-16 23:06:04.089] ,-3,23,1074                   
[2019-11-16 23:06:16.685] ,-3,23,1074                   
[2019-11-16 23:06:29.277] ,-3,23,1074                   
[2019-11-16 23:06:41.870] ,-3,23,1074                   
[2019-11-16 23:06:54.465] ,-3,23,1074                   
[2019-11-16 23:07:07.059] ,-3,23,1074                   
[2019-11-16 23:07:19.652] ,-3,23,1074                   
[2019-11-16 23:07:32.247] ,-3,23,1074                   
[2019-11-16 23:07:44.841] ,-3,23,1074                   
[2019-11-16 23:07:57.435] ,-3,23,1074                   
[2019-11-16 23:08:10.028] ,-3,23,1074                   
[2019-11-16 23:08:22.628] ,-3,23,1074                   
[2019-11-16 23:08:35.221] ,-3,23,1074                   
[2019-11-16 23:08:47.815] ,-3,23,1074                   
[2019-11-16 23:09:00.414] ,-3,23,1074                   
[2019-11-16 23:09:13.003] ,-3,23,1074                   
[2019-11-16 23:09:25.598] ,-3,23,1074                   
[2019-11-16 23:09:38.191] ,-3,23,1074                   
[2019-11-16 23:09:50.784] ,-3,23,1074                   
[2019-11-16 23:10:03.379] ,-3,23,1074                   
[2019-11-16 23:10:15.972] ,-3,23,1074                   
[2019-11-16 23:10:28.567] ,-3,23,1074                   
[2019-11-16 23:10:41.160] ,-3,23,1074                   
[2019-11-16 23:10:53.761] ,-3,23,1074                   
[2019-11-16 23:11:06.355] ,-3,23,1074                   
[2019-11-16 23:11:18.948] ,-3,23,1074                   
[2019-11-16 23:11:31.542] ,-3,23,1074                   
[2019-11-16 23:11:44.141] ,-3,23,1074                   
[2019-11-16 23:11:56.735] ,-3,23,1074                   
[2019-11-16 23:12:09.329] ,-3,23,1074                   
[2019-11-16 23:12:21.923] ,-3,23,1074                   
[2019-11-16 23:12:34.517] ,-3,23,1074                   
[2019-11-16 23:12:47.111] ,-3,23,1074                   
[2019-11-16 23:12:59.705] ,-3,23,1074                   
[2019-11-16 23:13:12.299] ,-3,23,1074                   
[2019-11-16 23:13:24.893] ,-3,23,1074                   
[2019-11-16 23:13:37.487] ,-3,23,1074                   
[2019-11-16 23:13:50.080] ,-3,23,1074                   
[2019-11-16 23:14:02.674] ,-3,23,1074                   
[2019-11-16 23:14:15.268] ,-3,23,1074                   
[2019-11-16 23:14:27.863] ,-3,23,1074                   
[2019-11-16 23:14:40.457] ,-3,23,1074                   
[2019-11-16 23:14:53.050] ,-3,23,1074                   
[2019-11-16 23:15:05.644] ,-3,23,1074                   
[2019-11-16 23:15:18.237] ,-3,23,1074                   
[2019-11-16 23:15:30.832] ,-3,23,1074                   
[2019-11-16 23:15:43.427] ,-3,23,1074                   
[2019-11-16 23:15:56.021] ,-3,23,1074                   
